census_block_group,visits_wawa,visits_7_eleven,visits_starbucks
010010202001,4.0,,
010030108002,4.0,,
010030113004,4.0,,
010279589001,8.0,,
010439645003,6.0,,
010450208011,4.0,,
010479567021,4.0,,
010499601001,5.0,,
010510313001,4.0,,
010690403012,4.0,,
010690409001,4.0,4.0,
010730141051,4.0,,
010730142031,4.0,,
010730144133,6.0,,
010810406021,4.0,,
010810407001,8.0,,8.0
010810407002,8.0,,8.0
010810408001,4.0,,
010810408002,4.0,,4.0
010890110222,4.0,,
010919734004,4.0,,
010970061031,8.0,,
010970062002,4.0,,
011170302162,4.0,,
011250102011,4.0,,
011250112001,20.0,,
011250114012,4.0,,
011250114013,4.0,,8.0
011250119021,4.0,,7.0
020200023013,4.0,,
040130610252,4.0,,
040130718022,8.0,,
040130820122,4.0,,
040130820221,7.0,,
040130923051,4.0,,
040130925004,4.0,,
040130927202,4.0,,
040131058003,4.0,,
040131072011,8.0,,
040131096022,4.0,,
040131167281,8.0,,
040132168071,8.0,,
040132178004,4.0,,
040133190004,4.0,,
040133192011,4.0,,
040134222051,5.0,,
040134226461,4.0,,
040136105003,4.0,,
040136123001,4.0,,
040136152003,4.0,,
040136194002,4.0,,
040138110001,4.0,,
040138118001,4.0,,
040138158002,4.0,,
040138160001,4.0,,
040138164001,4.0,,
040159534022,4.0,,
040190015001,4.0,,
040190040432,5.0,,
040190040702,4.0,,
040190043222,8.0,,
040190043291,4.0,,
040190044111,4.0,,
040190044253,4.0,,
040210013052,4.0,,
040210014062,8.0,,
040219412002,4.0,,
050070206051,4.0,,
050070211013,4.0,,
050097901003,4.0,,
050097905013,4.0,,
050234804004,4.0,,
050234805012,4.0,,
050310005021,4.0,,
050510112001,4.0,,
050590205003,4.0,,
050634906001,4.0,,
051190021031,4.0,,
051190034021,4.0,,
051190043032,4.0,,
051219602001,4.0,,
060133031021,4.0,,
060133270001,4.0,,
060133461022,4.0,,
060133551093,4.0,,
060190010002,4.0,,
060371081041,4.0,,
060371282102,4.0,,
060371285002,4.0,,
060371370002,4.0,,
060371395041,4.0,,
060372126201,4.0,,
060372181201,4.0,,
060372622001,4.0,,
060373108001,4.0,,
060373110001,7.0,,
060374332003,4.0,,
060375720013,12.0,,
060375751033,12.0,,
060376512012,4.0,,
060378003292,4.0,,8.0
060379012101,4.0,,
060379102081,4.0,,
060379203123,4.0,,
060411241002,4.0,,
060570001023,4.0,,
060590219221,4.0,,
060590525112,4.0,,
060590626121,5.0,,
060590756053,4.0,,
060650418083,8.0,,
060650420121,4.0,,
060650420142,4.0,,
060650434013,4.0,,
060650451251,4.0,,
060650481001,8.0,,
060650505001,4.0,,
060659414001,4.0,,
060670057024,8.0,,
060670081111,4.0,,
060710019062,13.0,,
060710020312,4.0,,
060710073061,4.0,,
060710116003,4.0,,
060730028041,4.0,,
060730030011,4.0,,
060730054002,4.0,,13.0
060730091072,4.0,,
060730095102,4.0,,
060730099011,4.0,,
060730109002,4.0,,
060730113001,4.0,,
060730170301,4.0,,
060730209031,4.0,,
060750352021,5.0,,
060750352023,4.0,,
060750426023,4.0,,
060816080044,4.0,,
060830029302,12.0,,
060855006003,4.0,,
060855048023,4.0,,
060855123082,4.0,,
060855125031,4.0,,
060952532031,4.0,,
061110046001,10.0,,
061110081012,4.0,,
061130104012,4.0,,
061130106064,4.0,,
080010083091,4.0,4.0,
080010085382,4.0,,
080050066043,4.0,,
080050071072,4.0,,
080050826004,4.0,,
080130122042,4.0,,
080140301001,4.0,,
080310014032,4.0,,
080310017011,4.0,,
080310083893,4.0,,
080319800001,5.0,,
080350139092,4.0,,
080350141221,8.0,,
080410037013,5.0,,
080410037021,5.0,,
080410038022,4.0,,
080410040081,4.0,,
080410043003,4.0,,
080410046012,6.0,,
080410054001,4.0,,
080410064004,4.0,,
080410067001,4.0,,
080410071011,8.0,,8.0
080410073001,4.0,,4.0
080410075002,4.0,,
080559606002,4.0,,
080590098311,4.0,,
080590120301,4.0,,
080590120351,4.0,,
080590120511,5.0,,
080690006003,4.0,,
090010101013,4.0,,
090010110004,4.0,,
090010113002,4.0,,
090010203003,4.0,,
090010205001,4.0,,
090010206003,4.0,,
090010207001,4.0,,
090010214002,4.0,,4.0
090010216004,4.0,,
090010220001,4.0,,
090010222001,12.0,,
090010222002,8.0,,
090010426004,10.0,,
090010437001,4.0,,
090010602003,4.0,,
090010604002,5.0,,
090010605001,4.0,,
090010607001,28.0,,8.0
090010723001,4.0,,
090010726004,8.0,,
090010729001,4.0,,
090010808004,4.0,,
090010907003,4.0,,
090011106004,8.0,,
090012003024,4.0,,
090012051003,4.0,,
090012052001,6.0,,
090012302002,4.0,,
090012303001,4.0,,
090012452003,4.0,,
090034001002,4.0,,
090034601002,4.0,,
090034714002,4.0,,
090034714003,4.0,,
090034715002,5.0,,
090034735013,4.0,,
090034761002,4.0,,
090035027003,4.0,,
090035039001,4.0,,
090035113001,4.0,,
090035141023,4.0,,
090035141024,4.0,,
090052501002,4.0,,
090052651001,4.0,,
090052661002,4.0,4.0,
090052671003,6.0,,6.0
090053101003,4.0,,
090053108041,4.0,,
090075501004,4.0,,
090076103001,4.0,,
090076103003,4.0,,
090076401005,4.0,,
090091301011,4.0,,
090091426013,4.0,4.0,
090091427003,4.0,,
090091506004,4.0,,
090091545004,4.0,,
090091571002,4.0,,
090091658012,4.0,,
090091712005,4.0,,
090091942011,5.0,,
090093453004,4.0,,
090093481232,5.0,,
090093505002,4.0,,
090093527023,4.0,,
090116903002,4.0,,
090116936001,4.0,,
090116966001,4.0,,
090117011002,4.0,,
090117051012,8.0,,
090117121002,4.0,,
090118707042,4.0,,
090138901001,4.0,,
090158003003,4.0,,
100010401001,109.0,12.0,19.0
100010401002,100.0,4.0,8.0
100010401003,28.0,4.0,
100010402011,172.0,11.0,34.0
100010402012,120.0,,23.0
100010402021,208.0,20.0,70.0
100010402022,508.0,12.0,90.0
100010402031,84.0,8.0,16.0
100010402032,48.0,,12.0
100010405011,24.0,,8.0
100010405012,62.0,4.0,4.0
100010405021,26.0,4.0,4.0
100010405022,4.0,4.0,
100010407001,13.0,,
100010407002,8.0,,
100010407003,73.0,,8.0
100010409001,48.0,,16.0
100010410001,48.0,8.0,
100010410002,71.0,,
100010411001,4.0,8.0,8.0
100010411002,16.0,,4.0
100010412001,32.0,,4.0
100010412002,16.0,,4.0
100010413001,44.0,,
100010414001,8.0,,
100010414002,4.0,,
100010415001,17.0,4.0,4.0
100010415002,4.0,,
100010416001,56.0,,4.0
100010417011,20.0,,
100010417012,36.0,,4.0
100010417021,24.0,8.0,4.0
100010417022,55.0,,
100010418011,100.0,,8.0
100010418012,34.0,,12.0
100010418013,42.0,,4.0
100010418021,67.0,4.0,4.0
100010418022,39.0,,4.0
100010419001,79.0,,4.0
100010419002,53.0,,5.0
100010420001,8.0,,
100010420002,32.0,,
100010421001,16.0,,
100010421002,24.0,4.0,
100010422011,72.0,,4.0
100010422012,79.0,4.0,8.0
100010422013,53.0,4.0,
100010422021,28.0,4.0,8.0
100010422022,71.0,4.0,4.0
100010422023,43.0,,
100010425001,8.0,,
100010425002,12.0,,
100010428001,46.0,,
100010428002,51.0,,
100010428003,44.0,,
100010429001,12.0,,
100010429002,24.0,,
100010430001,16.0,,
100010430002,8.0,,
100010430003,28.0,,
100010431001,8.0,4.0,
100010431002,27.0,,
100010432021,35.0,,
100010432022,25.0,,
100010432023,12.0,4.0,
100010432024,12.0,,
100010433001,46.0,4.0,
100010433002,16.0,,
100010433003,17.0,4.0,
100010434001,8.0,,4.0
100010434002,12.0,,4.0
100030002001,12.0,,
100030002002,16.0,8.0,4.0
100030002003,75.0,8.0,4.0
100030002004,17.0,4.0,
100030002005,56.0,4.0,8.0
100030002006,40.0,,8.0
100030003001,35.0,5.0,4.0
100030003002,37.0,12.0,4.0
100030003003,69.0,16.0,
100030003004,59.0,12.0,16.0
100030004001,16.0,4.0,4.0
100030004002,50.0,5.0,
100030004003,24.0,,12.0
100030005001,50.0,,4.0
100030005002,16.0,,
100030005003,39.0,4.0,
100030005004,24.0,16.0,
100030006011,32.0,,4.0
100030006012,49.0,,4.0
100030006013,46.0,8.0,
100030006021,40.0,4.0,8.0
100030006022,45.0,8.0,
100030006023,29.0,9.0,
100030009001,16.0,8.0,
100030009002,69.0,8.0,
100030009003,16.0,,
100030011001,61.0,8.0,4.0
100030011002,20.0,,4.0
100030011003,16.0,4.0,
100030012001,29.0,4.0,12.0
100030012002,32.0,4.0,
100030013001,16.0,4.0,9.0
100030013002,16.0,,17.0
100030013003,16.0,,34.0
100030013004,9.0,12.0,16.0
100030014001,22.0,,8.0
100030014002,63.0,12.0,24.0
100030015001,4.0,4.0,
100030015002,69.0,24.0,12.0
100030016001,12.0,,8.0
100030016002,29.0,,4.0
100030016003,16.0,8.0,12.0
100030019021,32.0,,
100030019022,59.0,4.0,18.0
100030021001,26.0,16.0,4.0
100030021002,156.0,20.0,8.0
100030022001,30.0,15.0,4.0
100030022002,44.0,4.0,4.0
100030022003,12.0,4.0,
100030023001,12.0,4.0,5.0
100030023002,30.0,27.0,4.0
100030023003,43.0,32.0,12.0
100030024001,21.0,18.0,4.0
100030024002,40.0,21.0,4.0
100030024003,55.0,14.0,
100030024004,20.0,4.0,
100030025001,105.0,47.0,8.0
100030025002,56.0,4.0,8.0
100030025003,37.0,,
100030026001,16.0,4.0,8.0
100030026002,77.0,8.0,9.0
100030026003,36.0,12.0,8.0
100030026004,32.0,4.0,4.0
100030027001,20.0,4.0,18.0
100030027002,104.0,4.0,8.0
100030028001,61.0,12.0,16.0
100030028002,4.0,,4.0
100030029001,4.0,4.0,8.0
100030029002,8.0,,12.0
100030029003,104.0,8.0,12.0
100030029004,92.0,16.0,
100030030021,12.0,4.0,
100030030022,34.0,8.0,4.0
100030030023,84.0,4.0,
100030101011,41.0,4.0,
100030101012,99.0,13.0,20.0
100030101013,98.0,,12.0
100030101041,141.0,16.0,12.0
100030101042,89.0,4.0,16.0
100030102001,73.0,5.0,4.0
