,brands,day,visits,popularity
0,Dunkin',Friday,185152,424.6605504587156
1,Dunkin',Monday,151800,348.1651376146789
2,Dunkin',Saturday,210036,481.73394495412845
3,Dunkin',Sunday,172728,396.1651376146789
4,Dunkin',Thursday,180096,413.0642201834862
5,Dunkin',Tuesday,161307,369.9701834862385
6,Dunkin',Wednesday,168120,385.5963302752294
7,Starbucks,Friday,104151,585.1179775280899
8,Starbucks,Monday,88017,494.47752808988764
9,Starbucks,Saturday,119640,672.1348314606741
10,Starbucks,Sunday,103077,579.0842696629213
11,Starbucks,Thursday,100644,565.4157303370787
12,Starbucks,Tuesday,93906,527.561797752809
13,Starbucks,Wednesday,95823,538.3314606741573
